trial,response_type,response_time,feedback_time,feedback_type,reaction_time,reaction_type
136,0.0,2.414982177900356,2.451514449210322,1.0,inf,0.0
137,0.0,2.4256784050879787,2.4629248083462016,1.0,340.0,-1.0
138,-1.0,0.6492020950583992,0.6492020950583992,-1.0,250.0,-1.0
139,1.0,0.8003650548489532,0.8003650548489532,-1.0,630.0,1.0
140,0.0,2.2078331490705523,2.245414682767091,1.0,500.0,1.0
141,-1.0,0.8612806920976936,0.8989712950785815,1.0,330.0,-1.0
142,1.0,0.7940544226938755,0.830657934155056,1.0,360.0,1.0
143,-1.0,0.5547747521612791,0.5547747521612791,-1.0,190.0,-1.0
144,-1.0,1.104616615460941,1.1429630772283872,1.0,950.0,-1.0
145,-1.0,0.9051613958581584,0.9414932629922532,1.0,770.0,-1.0
146,1.0,0.9921349176719332,1.0301910206677576,1.0,400.0,-1.0
147,1.0,1.0049089291951532,1.04181755262357,1.0,270.0,1.0
148,-1.0,0.7528262673932886,0.7528262673932886,-1.0,380.0,-1.0
149,0.0,2.3134161681447267,2.3503143484316524,1.0,inf,0.0
150,1.0,0.6883657483998604,0.7264464120103185,1.0,240.0,1.0
151,1.0,1.0904053918175125,1.1281471520621835,1.0,190.0,-1.0
152,-1.0,1.4421833631090522,1.4421833631090522,-1.0,400.0,-1.0
153,0.0,2.3865681830029644,2.425027351810286,1.0,820.0,-1.0
154,1.0,1.3211484268243794,1.3586790408480738,1.0,280.0,1.0
155,-1.0,1.2919562061936176,1.2919562061936176,-1.0,1130.0,-1.0
156,1.0,0.9182448260766024,0.9562726050538686,1.0,230.0,1.0
157,-1.0,1.1897903770113771,1.2269870704972163,1.0,1030.0,-1.0
158,-1.0,0.5613090713569591,0.6001536588531735,1.0,420.0,-1.0
159,-1.0,2.0941161913773385,2.0941161913773385,-1.0,910.0,-1.0
160,0.0,2.539724101190928,2.578596848028837,1.0,inf,0.0
161,1.0,0.9496346741816524,0.9877616190195796,1.0,340.0,1.0
162,0.0,2.5655558837803483,2.5655558837803483,-1.0,inf,0.0
163,-1.0,0.996539530668656,0.996539530668656,-1.0,670.0,-1.0
164,-1.0,1.1943235874030051,1.2332542407193614,1.0,1060.0,-1.0
165,1.0,0.7671817858018812,0.8057675164335478,1.0,640.0,1.0
166,0.0,2.5322358666990112,2.5701490253863994,1.0,510.0,-1.0
167,1.0,0.9092248935527324,0.9487360617875992,1.0,200.0,1.0
168,-1.0,0.9273338872267232,0.9652743579682692,1.0,580.0,-1.0
169,1.0,0.6086794142878489,0.6472041002136848,1.0,170.0,1.0
170,-1.0,0.8946481030391169,0.932495789024415,1.0,320.0,-1.0
171,1.0,1.0793774074344356,1.1180782018782338,1.0,160.0,1.0
172,1.0,0.6814525799576359,0.7209438978111393,1.0,270.0,1.0
173,-1.0,1.6319635882452983,1.6319635882452983,-1.0,800.0,-1.0
