trial,contrast_left,contrast_right,gocue_time
77,0,50,0.4019913010609457
78,100,50,0.6617113929582388
79,0,0,0.5719898146458604
80,100,100,0.5919939282987343
81,50,0,0.4868452926936015
82,25,0,0.6716593112799387
83,0,0,0.441219531961849
84,50,100,0.4869539081124117
85,50,25,0.6818993717438957
86,0,0,0.6112343883078211
87,0,0,0.7713008197830504
88,0,0,0.4760750625526952
89,50,0,0.4870946471147022
90,50,0,0.4606925372216892
91,0,0,0.412004505444429
92,0,0,0.4862719435171243
93,25,50,0.5223644825612155
94,100,50,0.7470277732741124
95,0,0,0.5712561180209832
96,25,25,0.7464238909977894
97,25,100,0.4359536176719416
98,0,0,0.6111329782345365
99,0,0,0.6014147621463053
100,0,50,0.4220851196200783
101,50,100,0.6418226802803702
102,100,50,0.4015700437982445
103,50,25,0.6168054506738372
104,50,25,0.7365782286959757
105,0,0,0.4018039044736383
106,0,0,0.5065059902709663
107,100,100,0.5915880557769242
108,25,50,0.710744259754847
109,0,0,0.641625458565386
110,100,50,0.7457899189307682
111,0,0,0.4061571498284593
112,0,0,0.527871153436763
113,0,0,0.691811092917078
114,0,100,0.4313037496680181
115,100,100,0.4017414253131619
116,25,100,0.5558720176302359
117,0,50,0.6411301195602164
118,25,100,0.431507880215122
119,50,100,0.5764483530576854
120,100,25,0.5217767725907834
121,25,50,0.4970173154562189
122,100,25,0.612014561748083
123,100,25,0.5112791189773134
124,50,0,0.6963378894906782
125,100,50,0.7913649980853279
126,0,0,0.5571728666624267
127,0,0,0.6313866245544659
128,0,100,0.5212566725078887
129,50,0,0.7213972662607375
130,0,100,0.5118477993372608
131,0,50,0.6911793565385551
132,50,0,0.4562808785090055
133,25,100,0.7564401575936017
134,0,100,0.4312405874011347
135,50,25,0.5767104692979501
136,0,0,0.6010826969053369
137,0,0,0.6256932825493777
138,100,50,0.4662451016164368
139,0,0,0.5061446508025256
140,0,0,0.4057831157870168
141,0,50,0.6565671355679115
142,100,25,0.5554532118061388
143,50,25,0.4218531180883929
144,25,100,0.6869552524061646
145,25,100,0.5814870855010668
146,50,0,0.5661830585680718
147,25,0,0.5910098170318179
148,0,0,0.4508354757924735
149,0,0,0.5062827059489337
150,100,25,0.5552434742700143
151,25,25,0.6913396567061909
152,0,0,0.4903878307835612
153,0,0,0.5817957230552793
154,50,25,0.6958676674003073
155,50,25,0.7802878012887504
156,100,25,0.5806661598713845
157,25,50,0.6341768982283611
158,0,25,0.4213505906992623
159,0,0,0.5158224720262297
160,0,0,0.7349652124098611
161,50,50,0.4405522292329351
162,25,0,0.761419517322679
163,100,100,0.4813028855411403
164,0,100,0.7616461482059549
165,50,0,0.5005622792938311
166,0,0,0.7361175545004244
167,50,0,0.6115302755375751
168,0,50,0.721270171002061
169,100,50,0.4416005721798228
170,25,50,0.6656912108170445
171,100,25,0.7416717429680375
172,50,0,0.4313389283624929
173,0,0,0.6611170381808051
174,0,0,0.4515182072566404
175,25,50,0.4399724605964366
176,25,0,0.4210020403791077
